 product_name,product_category_tree,brand,discounted_price,description
Merry Christmas Banner,"[""Christmas Decor >> Wall Decor""]",PartyCraft,179,Red glitter banner for walls or balconies.
Hanging Snowflake Ornaments,"[""Christmas Decor >> Ornaments""]",ShineBright,299,Set of 12 plastic snowflake ornaments for tree or window decoration.
Scented Candles (Set of 3),"[""Christmas Decor >> Candles & Fragrances""]","AromaNest	",299,Cinnamon and vanilla scented candles for a festive aroma.
Christmas Garland (6ft),"[""Christmas Decor >> Garland""]",GreenFest,349,Decorative pine garland with berries and LED lights for doors or shelves.
Mini Christmas Tree (2ft),"[""Christmas Decor >> Trees""]","DecorTree	",599,Tabletop artificial Christmas tree with ornaments and lights. I want to decorate my room for Christmas
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",OM SHIVAKRITI,1499,"Key Features of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm Paper Mache Height - 38.1 cm Width - 38.1 cm,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache, Multicolor) Price: Rs. 1,499 Omshivakriti brings you this square wall watch made from paper mache and finished in attractive set of colors. The product in display is ideal to décor your home.,Specifications of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache, Multicolor) General Brand OM SHIVAKRITI Model Number OSK60 Type Antique Material Paper Mache Model Name Square wall Clock Color Multicolor Dimensions Height 38.1 cm Width 38.1 cm Depth 3.81 cm In the Box Sales Package 1 showpiece"
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",Redbag,1200,"Key Features of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm Brass Height - 10.8 cm Width - 10.16 cm Weight - 850 g,Specifications of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm (Brass, Gold) General Brand Redbag Model Number 6437 Type Religious Idols Model Name Eight Armed Goddess Sherawali Maa Material Brass Color Gold Dimensions Weight 850 g Height 10.8 cm Width 10.16 cm Depth 5.08 cm In the Box Sales Package 1 Showpiece Figurine"
"Kleio Festive, Party, Casual Blue PU  Clutch","[""Bags, Wallets & Belts >> Wallets & Clutches >> Clutches >> Kleio Clutches >> Kleio Festive, Party, Casual Blue PU  Clutch""]",Kleio,999,"Key Features of Kleio Festive, Party, Casual Blue PU  Clutch Occasion: Festive, Party, Casual Compartments: 1 Closure: Buckle Pattern: Solid,Specifications of Kleio Festive, Party, Casual Blue PU  Clutch General Closure Buckle Size in inch 1 inch Model Name Designer party Sling Bag Material PU Style Code ESR200004KL Occasion Festive, Party, Casual Color Code Blue Dimensions Weight 300 g Height 160 mm Width 310 mm Depth 30 mm Body Features Pattern Solid Number of Compartments 1 In the Box Clutch"
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oil & Diffuser Sets >> Pure Source Aroma Oil & Diffuser Sets""]",Pure Source,375,Buy Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener for Rs.375 online. Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm,"[""Home Decor & Festive Needs >> Showpieces >> Karigaari Showpieces""]",Karigaari,2050,"Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm (Iron, Wooden, Multicolor)
                         Price: Rs. 2,050
				
			Indian Society Is A Potpourri Of Different And Divergent Cultures, Wherein Every Sect Has Its Own Unique Role To Play. Not To Forget, Is The Contribution From Various Aadivasi Group From Various Parts Of This Vast Country. Known To Embrace Ways Of Life Close To Nature, A Group Of Aadivasi Men And Women Seen Making Merry In This Specially Designed Wrought Iron Artefact By Karigaari India. The Figurines Are Arranged On An Elephant-Tusk Shaped Base, Making It A Perfect Table Top Artefact. Bring It Home Or Gift It To Your Friend & Family To Enjoy This Ethnic Splendour.
Indian Society Is A Potpourri Of Different And Divergent Cultures, Wherein Every Sect Has Its Own Unique Role To Play. Not To Forget, Is The Contribution From Various Aadivasi Group From Various Parts Of This Vast Country. Known To Embrace Ways Of Life Close To Nature, A Group Of Aadivasi Men And Women Seen Making Merry In This Specially Designed Wrought Iron Artefact By Karigaari India. The Figurines Are Arranged On An Elephant-Tusk Shaped Base, Making It A Perfect Table Top Artefact. Bring It Home Or Gift It To Your Friend & Family To Enjoy This Ethnic Splendour."
